Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
A. Robertson,Andrew Robertson,87,87,72000000,LB,LB,Scotland,28,178,64,2154,461,Liverpool
K. Koulibaly,Kalidou Koulibaly,87,87,54500000,CB,CB,Senegal,31,187,89,1789,415,Chelsea
L. Goretzka,Leon Goretzka,87,88,91000000,"CM,CDM",CM,Germany,27,189,82,2312,492,FC Bayern München
F. de Jong,Frenkie de Jong,87,92,116500000,CM,CM,Netherlands,25,180,74,2238,479,FC Barcelona
Thiago,Thiago Alcântara,86,86,55500000,CM,CM,Spain,31,174,70,2225,451,Liverpool
C. Immobile,Ciro Immobile,86,86,55000000,ST,ST,Italy,32,185,85,2060,434,Lazio
R. Lukaku,Romelu Lukaku,86,86,68000000,ST,ST,Belgium,29,191,94,2034,437,Inter
D. Alaba,David Alaba,86,86,55500000,CB,CB,Austria,30,180,78,2277,475,Real Madrid CF
R. Sterling,Raheem Sterling,86,86,72500000,"LW,RW",LW,England,27,170,69,2102,446,Chelsea
R. Mahrez,Riyad Mahrez,86,86,56500000,"RW,RM",RW,Algeria,31,179,67,2063,432,Manchester City
P. Dybala,Paulo Dybala,86,86,69500000,"CF,CAM",CAM,Argentina,28,177,75,2108,439,Roma
Thiago Silva,Thiago Emiliano da Silva,86,86,12000000,CB,CB,Brazil,37,183,79,2012,411,Chelsea
W. Szczęsny,Wojciech Szczęsny,86,86,33500000,GK,GK,Poland,32,195,90,1314,462,Juventus
K. Trapp,Kevin Trapp,86,86,36000000,GK,GK,Germany,31,189,84,1252,463,Eintracht Frankfurt
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,86,72500000,"CAM,CM",CAM,Portugal,27,179,69,2305,470,Manchester United
Parejo,Daniel Parejo Muñoz,86,86,42000000,CM,CM,Spain,33,182,74,2162,442,Villarreal CF
A. Laporte,Aymeric Laporte,86,87,64500000,CB,CB,Spain,28,191,85,1962,417,Manchester City
K. Coman,Kingsley Coman,86,87,80000000,LM,LM,France,26,179,75,1979,426,FC Bayern München
M. Brozović,Marcelo Brozović,86,86,58000000,"CDM,CM",CDM,Croatia,29,181,68,2227,464,Inter
N. Barella,Nicolò Barella,86,89,89500000,CM,CM,Italy,25,172,68,2296,480,Inter
L. Martínez,Lautaro Martínez,86,90,98500000,ST,ST,Argentina,24,174,72,2163,455,Inter
M. Škriniar,Milan Škriniar,86,87,68500000,CB,CB,Slovakia,27,188,80,1861,419,Inter
C. Nkunku,Christopher Nkunku,86,89,94000000,"CF,CAM,ST",CAM,France,24,175,73,2196,471,RB Leipzig
É. Mendy,Édouard Mendy,86,87,51000000,GK,GK,Senegal,30,197,86,1225,454,Chelsea
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,92,109000000,LW,LW,Brazil,21,176,73,1985,434,Real Madrid CF
S. Milinković-Savić,Sergej Milinković-Savić,86,87,77500000,CM,CM,Serbia,27,191,76,2250,477,Lazio
N. Süle,Niklas Süle,85,87,59000000,"CB,RB",CB,Germany,26,195,99,1839,412,Borussia Dortmund
N. Fekir,Nabil Fekir,85,85,54500000,CAM,CAM,France,28,173,75,2126,452,Real Betis Balompié
S. Gnabry,Serge Gnabry,85,85,59000000,RM,RM,Germany,26,176,77,2058,442,FC Bayern München
İ. Gündoğan,İlkay Gündoğan,85,85,44000000,"CM,CDM",CM,Germany,31,180,80,2195,458,Manchester City
K. Walker,Kyle Walker,85,85,37500000,RB,RB,England,32,183,83,2196,471,Manchester City
P. Aubameyang,Pierre-Emerick Aubameyang,85,85,34500000,ST,ST,Gabon,33,187,80,2028,428,Chelsea
Jordi Alba,Jordi Alba Ramos,85,85,28000000,LB,LB,Spain,33,170,68,2218,465,FC Barcelona
Sergio Busquets,Sergio Busquets Burgos,85,85,26500000,CDM,CDM,Spain,33,189,76,2002,417,FC Barcelona
Iago Aspas,Iago Aspas Juncal,85,85,26000000,ST,ST,Spain,34,176,67,2069,430,RC Celta de Vigo
P. Pogba,Paul Pogba,85,85,52500000,"CM,CDM,LM",CM,France,29,191,84,2170,459,Juventus
M. Depay,Memphis Depay,85,85,55000000,"CF,ST,LW",CF,Netherlands,28,176,78,2089,444,FC Barcelona
Jorginho,Luiz Frello Filho Jorge,85,85,51500000,CM,CM,Italy,30,180,68,2128,434,Chelsea
M. Acuña,Marcos Acuña,85,85,46500000,LB,LB,Argentina,30,172,69,2303,483,Sevilla FC
Gerard Moreno,Gerard Moreno Balagueró,85,85,53000000,ST,ST,Spain,30,180,77,2109,442,Villarreal CF
Y. Carrasco,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,28,181,73,2153,458,Atlético de Madrid
F. Kostić,Filip Kostić,85,85,53000000,"LM,LWB",LM,Serbia,29,184,84,2234,474,Juventus
J. Vardy,Jamie Vardy,85,85,23000000,ST,ST,England,35,179,74,2118,441,Leicester City
Pedri,Pedro González López,85,93,116000000,CM,CM,Spain,19,174,61,2109,455,FC Barcelona
P. Foden,Phil Foden,85,92,109500000,"LW,CF,CAM",CAM,England,22,171,69,2083,445,Manchester City
M. de Ligt,Matthijs de Ligt,85,89,71000000,CB,CB,Netherlands,22,189,89,1982,435,FC Bayern München
P. Schick,Patrik Schick,85,87,67500000,ST,ST,Czech Republic,26,191,86,1999,427,Bayer 04 Leverkusen
T. Hernández,Theo Hernández,85,90,76000000,LB,LWB,France,24,184,81,2195,483,AC Milan
Diogo Jota,Diogo José Teixeira da Silva,85,89,76000000,"CF,LW",ST,Portugal,25,178,73,2183,462,Liverpool
P. Gulácsi,Péter Gulácsi,85,85,26500000,GK,GK,Hungary,32,191,86,1305,456,RB Leipzig
Y. Sommer,Yann Sommer,85,85,17500000,GK,GK,Switzerland,33,183,79,1356,467,Borussia Mönchengladbach
M. Reus,Marco Reus,85,85,33500000,"CAM,CF,RM",CAM,Germany,33,180,71,2154,441,Borussia Dortmund
L. Hernández,Lucas Hernández,84,86,46000000,"CB,LB",CB,France,26,184,79,2014,436,FC Bayern München
Sergio Ramos,Sergio Ramos García,84,84,7500000,CB,CB,Spain,36,184,82,2137,433,Paris Saint-Germain
A. Gómez,Alejandro Gómez,84,84,20000000,"CAM,LW",CAM,Argentina,34,167,68,2035,425,Sevilla FC
S. Handanovič,Samir Handanovič,84,84,4700000,GK,GK,Slovenia,37,193,92,1265,443,Inter
D. Mertens,Dries Mertens,84,84,18000000,"CF,ST,CAM",CF,Belgium,35,169,61,1980,410,Galatasaray SK
L. Suárez,Luis Suárez,84,84,18000000,ST,ST,Uruguay,35,182,86,2231,439,Club Nacional de Football
D. Tadić,Dušan Tadić,84,84,26500000,"LW,CF,CAM",LW,Serbia,33,181,76,2106,439,Ajax
D. Berardi,Domenico Berardi,84,84,45000000,"RM,RW",RM,Italy,27,183,72,2063,437,U.S. Sassuolo Calcio
T. Partey,Thomas Partey,84,84,36000000,"CDM,CM",CDM,Ghana,29,185,77,2143,460,Arsenal
Y. Bounou,Yassine Bounou,84,84,22500000,GK,GK,Morocco,31,192,78,1262,447,Sevilla FC
H. Çalhanoğlu,Hakan Çalhanoğlu,84,84,42000000,CM,CM,Turkey,28,178,76,2172,450,Inter
M. Kovačić,Mateo Kovačić,84,84,42000000,CM,CM,Croatia,28,176,80,2141,452,Chelsea
J. Grealish,Jack Grealish,84,84,46000000,"LW,LM,CAM",LW,England,26,180,81,2017,437,Manchester City
Carvajal,Daniel Carvajal Ramos,84,84,36500000,RB,RB,Spain,30,173,73,2105,450,Real Madrid CF
S. Savić,Stefan Savić,84,84,29000000,CB,CB,Montenegro,31,187,80,1755,382,Atlético de Madrid
E. Martínez,Emiliano Martínez,84,84,29000000,GK,GK,Argentina,29,195,88,1457,476,Aston Villa
R. Varane,Raphaël Varane,84,85,39000000,CB,CB,France,29,191,81,1910,425,Manchester United
W. Ben Yedder,Wissam Ben Yedder,84,84,35500000,ST,CF,France,31,170,68,2102,438,AS Monaco
L. Insigne,Lorenzo Insigne,84,84,35000000,"LW,CF,LM",CAM,Italy,31,163,59,2013,416,Toronto FC
M. Hummels,Mats Hummels,84,84,20000000,"CB,RB,RW",CB,Germany,33,191,94,2024,425,Borussia Dortmund
S. de Vrij,Stefan de Vrij,84,84,34500000,CB,CB,Netherlands,30,189,78,1873,409,Inter
J. Matip,Joel Matip,84,84,34500000,CB,CB,Cameroon,30,194,90,1899,412,Liverpool
K. Casteels,Koen Casteels,84,85,31500000,GK,GK,Belgium,30,197,86,1301,460,VfL Wolfsburg
Canales,Sergio Canales Madrazo,84,84,35000000,"RM,CAM,CDM",RM,Spain,31,176,65,2213,468,Real Betis Balompié
Muniain,Iker Muniain Goñi,84,84,41500000,"LM,CAM",LM,Spain,29,170,66,2088,439,Athletic Club de Bilbao
K. Trippier,Kieran Trippier,84,84,30500000,"RB,RM",RB,England,31,173,71,2181,445,Newcastle United
L. Bonucci,Leonardo Bonucci,84,84,11000000,CB,CB,Italy,35,190,85,1947,416,Juventus
Á. Di María,Ángel Di María,84,84,20000000,RW,RW,Argentina,34,180,69,2142,444,Juventus
E. Hazard,Eden Hazard,84,84,35000000,LW,LW,Belgium,31,175,74,2045,430,Real Madrid CF
I. Perišić,Ivan Perišić,84,84,26500000,"LM,LWB",LM,Croatia,33,186,80,2238,472,Tottenham Hotspur
E. Džeko,Edin Džeko,84,84,14500000,ST,ST,Bosnia and Herzegovina,36,193,80,1954,415,Inter
G. Chiellini,Giorgio Chiellini,84,84,7500000,CB,CB,Italy,37,187,85,1815,397,Los Angeles FC
R. De Paul,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,28,180,70,2240,476,Atlético de Madrid
J. Bellingham,Jude Bellingham,84,91,81500000,"CM,LM",CM,England,19,186,75,2182,469,Borussia Dortmund
F. Chiesa,Federico Chiesa,84,90,66500000,LW,RM,Italy,24,175,70,2073,455,Juventus
M. Diaby,Moussa Diaby,84,88,61500000,"RM,LM,LW",RM,France,22,171,67,1960,429,Bayer 04 Leverkusen
J. Tartt,Jamie Tartt,84,91,85500000,ST,CAM,England,24,178,84,2073,438,AFC Richmond
Rafael Leão,Rafael da Conceição Leão,84,90,66500000,"LW,LM",LW,Portugal,23,188,81,1971,428,AC Milan
J. Koundé,Jules Koundé,84,89,57500000,"CB,RB",CB,France,23,181,75,1926,430,FC Barcelona
Y. Tielemans,Youri Tielemans,84,86,52500000,"CM,CDM",CM,Belgium,25,176,72,2187,446,Leicester City
S. Tonali,Sandro Tonali,84,90,62500000,"CDM,CM",CDM,Italy,22,181,79,2225,475,AC Milan
L. Díaz,Luis Díaz,84,87,56000000,"LW,LM",RM,Colombia,25,180,73,2049,440,Liverpool
Éder Militão,Éder Gabriel Militão,84,89,57500000,CB,CB,Brazil,24,186,78,2043,445,Real Madrid CF
F. Valverde,Federico Valverde,84,90,66000000,"CM,RW",CM,Uruguay,23,182,78,2192,478,Real Madrid CF
L. Sané,Leroy Sané,84,85,49500000,LM,LM,Germany,26,183,80,2086,438,FC Bayern München
R. James,Reece James,84,88,57000000,"RWB,RB",RWB,England,22,178,87,2225,477,Chelsea
A. Bastoni,Alessandro Bastoni,84,90,60500000,CB,CB,Italy,23,190,75,1890,416,Inter
K. Havertz,Kai Havertz,84,91,84500000,"CAM,CF,ST",CAM,Germany,23,189,82,2042,434,Chelsea
João Félix,João Félix Sequeira,84,90,68500000,"CF,ST",CAM,Portugal,22,181,72,2110,439,Atlético de Madrid
A. Hakimi,Achraf Hakimi,84,87,53500000,"RB,RWB",RB,Morocco,23,181,73,2229,479,Paris Saint-Germain
A. Davies,Alphonso Davies,84,89,60500000,"LB,LM",LM,Canada,21,185,77,2170,475,FC Bayern München
D. Rice,Declan Rice,84,87,52000000,CDM,CDM,England,23,185,80,2075,450,West Ham United
M. Mount,Mason Mount,84,87,57500000,"CAM,RW",CAM,England,23,180,74,2119,444,Chelsea
J. Sancho,Jadon Sancho,84,88,61500000,"LW,RW,LM",CAM,England,22,180,76,1977,420,Manchester United
F. Tomori,Fikayo Tomori,84,90,60500000,CB,CB,England,24,185,79,1875,419,AC Milan
F. Kessié,Franck Yannick Kessié,84,86,47500000,"CDM,CM",CDM,Côte d'Ivoire,25,183,88,2206,476,FC Barcelona
Oyarzabal,Mikel Oyarzabal Ugarte,84,86,53000000,"LW,RW",LW,Spain,25,181,79,2044,428,Real Sociedad
L. Pellegrini,Lorenzo Pellegrini,84,87,55000000,"CAM,CM",CAM,Italy,26,186,77,2258,475,Roma
W. Ndidi,Wilfred Ndidi,84,86,47500000,"CDM,CM",CB,Nigeria,25,183,74,2087,437,Leicester City
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,27,184,74,2244,489,Atlético de Madrid
M. Ødegaard,Martin Ødegaard,84,89,63500000,"CAM,CM",CAM,Norway,23,178,68,2109,442,Arsenal
D. Vlahović,Dušan Vlahović,84,91,86500000,ST,ST,Serbia,22,190,75,1912,416,Juventus
Diego Carlos,Diego Carlos Santos Silva,83,83,30500000,CB,CB,Brazil,29,186,79,1918,417,Aston Villa
Angeliño,José Ángel Esmoris Tasende,83,85,42000000,"LWB,LM",LM,Spain,25,171,69,2209,461,TSG Hoffenheim
O. Dembélé,Ousmane Dembélé,83,86,48000000,"RW,LW",LM,France,25,178,67,2002,428,FC Barcelona
Marco Asensio,Marco Asensio Willemsen,83,84,43000000,RW,RW,Spain,26,182,76,2036,431,Real Madrid CF
Rúben Neves,Rúben Diogo da Silva Neves,83,86,47500000,"CM,CDM",CM,Portugal,25,180,80,2171,444,Wolverhampton Wanderers
Merino,Mikel Merino Zazón,83,86,47000000,CM,CM,Spain,26,189,83,2247,477,Real Sociedad
K. Laimer,Konrad Laimer,83,84,38500000,"CDM,CM",CDM,Austria,25,180,72,2156,468,RB Leipzig
P. Kimpembe,Presnel Kimpembe,83,86,42000000,CB,CB,France,26,189,80,1943,429,Paris Saint-Germain
Fabián,Fabián Ruiz Peña,83,85,44500000,"CM,CDM",CM,Spain,26,189,70,2125,449,Paris Saint-Germain
F. Mendy,Ferland Mendy,83,84,38000000,LB,LB,France,27,180,73,2158,473,Real Madrid CF
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,83,35000000,"CAM,RM",RM,Brazil,30,177,75,2098,439,Palmeiras
Gabriel Jesus,Gabriel Fernando de Jesus,83,86,48500000,"ST,RW",ST,Brazil,25,175,73,2078,440,Arsenal
Unai Simón,Unai Simón Mendibil,83,86,37000000,GK,GK,Spain,25,190,89,1311,457,Athletic Club de Bilbao
V. Osimhen,Victor Osimhen,83,89,58000000,ST,ST,Nigeria,23,185,78,1999,436,Napoli
P. Højbjerg,Pierre-Emile Højbjerg,83,85,40500000,"CDM,CM",CDM,Denmark,26,187,84,2108,444,Tottenham Hotspur
C. Romero,Cristian Romero,83,88,49500000,CB,CB,Argentina,24,185,79,1874,408,Tottenham Hotspur
Raphinha,Raphael Dias Belloli,83,86,48000000,"RW,RM",LM,Brazil,25,176,68,2129,455,FC Barcelona
Carlos Soler,Carlos Soler Barragán,83,88,53000000,"CM,RM,CDM",CM,Spain,25,180,76,2183,463,Paris Saint-Germain
G. Kobel,Gregor Kobel,83,88,44000000,GK,GK,Switzerland,24,195,88,1251,448,Borussia Dortmund
Pau Torres,Pau Francisco Torres,83,89,50500000,CB,CB,Spain,25,191,80,1891,413,Villarreal CF
C. Gakpo,Cody Gakpo,83,87,52000000,LW,RM,Netherlands,23,189,76,2057,445,PSV
R. Araujo,Ronald Araujo,83,89,52000000,"CB,RB",CB,Uruguay,23,192,91,1905,420,FC Barcelona
R. Kent,Roy Kent,83,83,0,"CDM,CM",CDM,England,40,182,82,2114,444,AFC Richmond
D. Zapata,Duván Zapata,83,83,30500000,ST,ST,Colombia,31,189,88,1928,422,Atalanta
Á. Correa,Ángel Correa,83,84,42500000,"ST,RM,CF",CF,Argentina,27,171,70,2140,457,Atlético de Madrid
J. Giménez,José María Giménez,83,85,38500000,CB,CB,Uruguay,27,185,79,1820,402,Atlético de Madrid
T. Lemar,Thomas Lemar,83,86,47000000,"CM,LM,RM",CAM,France,26,171,66,2215,462,Atlético de Madrid
Bremer,Gleison Bremer Silva Nascimento,83,87,45500000,CB,CB,Brazil,25,188,82,1869,412,Juventus
J. Cuadrado,Juan Cuadrado,83,83,13500000,"RB,RM",RB,Colombia,34,179,72,2234,478,Juventus
P. Zieliński,Piotr Zieliński,83,83,36500000,"CAM,CM",CAM,Poland,28,180,75,2132,457,Napoli
Jesús Navas,Jesús Navas González,83,83,8000000,"RB,RM",RB,Spain,36,172,60,2169,452,Sevilla FC
Piqué,Gerard Piqué Bernabeu,83,83,9500000,CB,CB,Spain,35,194,85,1953,415,FC Barcelona
K. Schmeichel,Kasper Schmeichel,83,83,4000000,GK,GK,Denmark,35,189,89,1339,450,OGC Nice
J. Henderson,Jordan Henderson,83,83,28500000,"CM,CDM",CM,England,32,182,80,2190,460,Liverpool
Fernando,Fernando Reges Mouta,83,83,12500000,"CDM,CB",CDM,Brazil,34,183,76,2045,440,Sevilla FC
L. Hrádecký,Lukáš Hrádecký,83,83,18000000,GK,GK,Finland,32,192,85,1195,439,Bayer 04 Leverkusen
David Silva,David Josué Jiménez Silva,83,83,12000000,"CAM,CM",CAM,Spain,36,173,67,2015,409,Real Sociedad
O. Baumann,Oliver Baumann,83,83,18000000,GK,GK,Germany,32,187,82,1267,456,TSG Hoffenheim
A. Griezmann,Antoine Griezmann,83,83,30500000,"ST,CF,RW",CAM,France,31,176,73,2235,454,Atlético de Madrid
Luis Alberto,Luis Alberto Romero Alconchel,83,83,35500000,CM,CM,Spain,29,183,74,1982,412,Lazio
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,83,83,35500000,CF,CF,Brazil,30,181,76,2161,453,Liverpool
J. Stones,John Stones,83,84,34500000,CB,CB,England,28,188,76,1964,430,Manchester City
H. Ziyech,Hakim Ziyech,83,83,35500000,"RW,CAM",RW,Morocco,29,181,65,2078,438,Chelsea
Koke,Jorge Resurrección,83,83,34500000,"CM,CDM",CM,Spain,30,176,75,2192,462,Atlético de Madrid
Ricardo Pereira,Ricardo Barbosa Pereira,83,83,33000000,"RB,RWB",RB,Portugal,28,175,70,2168,459,Leicester City
J. Maddison,James Maddison,82,84,38000000,"CAM,RM",CAM,England,25,175,73,2090,436,Leicester City
G. Rulli,Gerónimo Rulli,82,82,20500000,GK,GK,Argentina,30,189,84,1336,459,Villarreal CF
A. Kramarić,Andrej Kramarić,82,82,25500000,"CF,CAM",CF,Croatia,31,177,73,2041,417,TSG Hoffenheim
Rafa,Rafael A. Ferreira Silva,82,82,30000000,"RW,RM,CF",RW,Portugal,29,172,66,1996,427,SL Benfica
G. Di Lorenzo,Giovanni Di Lorenzo,82,82,27500000,RB,RB,Italy,28,183,83,2135,459,Napoli
David Soria,David Soria Solís,82,82,21000000,GK,GK,Spain,29,192,85,1279,443,Getafe CF
M. Locatelli,Manuel Locatelli,82,86,40000000,"CDM,CM",CM,Italy,24,185,75,2120,450,Juventus
R. Gosens,Robin Gosens,82,82,29500000,"LWB,LM",LWB,Germany,27,183,76,2193,467,Inter
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82,85,41000000,"ST,LM,CF",ST,Portugal,25,179,68,2034,434,Wolverhampton Wanderers
J. Tah,Jonathan Tah,82,84,33500000,CB,CB,Germany,26,195,94,1726,392,Bayer 04 Leverkusen
A. Christensen,Andreas Christensen,82,86,37500000,CB,CB,Denmark,26,188,81,1775,394,FC Barcelona
E. Can,Emre Can,82,82,30500000,"CM,CB,CDM",CB,Germany,28,186,86,2269,483,Borussia Dortmund
Anderson Talisca,Anderson Souza Conceição,82,82,31000000,"CF,ST,CAM",CF,Brazil,28,190,80,2152,450,Al Nassr
J. Brandt,Julian Brandt,82,85,40000000,"CAM,CM,RM",CAM,Germany,26,185,83,2027,425,Borussia Dortmund
T. Werner,Timo Werner,82,84,38000000,"ST,LW",ST,Germany,26,180,76,1994,425,RB Leipzig
Gayà,José Luís Gayà Peña,82,83,32000000,"LB,LM",LB,Spain,27,172,66,2090,451,Valencia CF
Otávio,Otávio Edmilson da Silva Monteiro,82,82,32500000,"RM,LM",RM,Portugal,27,171,67,2116,446,FC Porto
Grimaldo,Alejandro Grimaldo García,82,83,33000000,"LB,LWB,LM",LB,Spain,26,172,67,2184,461,SL Benfica
R. Guerreiro,Raphaël Guerreiro,82,82,27500000,"LB,LM",CAM,Portugal,28,170,71,2171,454,Borussia Dortmund
A. Onana,André Onana,82,85,30500000,GK,GK,Cameroon,26,190,93,1468,471,Inter
M. Ginter,Matthias Ginter,82,83,29000000,CB,CB,Germany,28,191,86,1948,419,Sport-Club Freiburg
S. Haller,Sébastien Haller,82,82,31000000,ST,ST,Côte d'Ivoire,28,190,82,1947,415,Borussia Dortmund
Aritz Elustondo,Aritz Elustondo,82,83,29000000,"CB,RB",CB,Spain,28,180,71,1820,390,Real Sociedad
T. Abraham,Tammy Abraham,82,85,42000000,ST,ST,England,24,195,86,1927,424,Roma
I. Bennacer,Ismaël Bennacer,82,86,40000000,"CDM,CM",CM,Algeria,24,175,70,2213,464,AC Milan
Álex Remiro,Alejandro Remiro Gargallo,82,84,28000000,GK,GK,Spain,27,192,79,1296,449,Real Sociedad
D. Rojas,Dani Rojas,82,83,36500000,ST,ST,Mexico,26,183,75,2033,426,AFC Richmond
F. Wirtz,Florian Wirtz,82,91,66000000,"CAM,CM",CAM,Germany,19,176,72,1994,428,Bayer 04 Leverkusen
Antony,Antony Matheus dos Santos,82,88,49000000,"RW,RM",LM,Brazil,22,174,63,2010,436,Manchester United
D. Núñez,Darwin Núñez,82,89,61500000,"ST,LW",ST,Uruguay,23,186,80,2063,444,Liverpool
N. Schlotterbeck,Nico Schlotterbeck,82,88,44500000,CB,CB,Germany,22,191,86,1975,432,Borussia Dortmund
B. Saka,Bukayo Saka,82,89,60500000,"RM,LM",LM,England,20,178,65,2101,449,Arsenal
Dani Olmo,Daniel Olmo Carvajal,82,87,46000000,"CAM,CF",CAM,Spain,24,179,72,2034,419,RB Leipzig
A. Tchouaméni,Aurélien Tchouaméni,82,89,61500000,"CM,CDM",CDM,France,22,187,81,2142,460,Real Madrid CF
Ferran Torres,Ferran Torres García,82,88,49000000,"LW,ST",LW,Spain,22,184,77,2030,427,FC Barcelona
N. Mazraoui,Noussair Mazraoui,82,86,40500000,RB,RM,Morocco,24,183,65,2105,459,FC Bayern München
A. Danjuma,Arnaut Danjuma,82,83,36500000,"LM,ST",LM,Netherlands,25,178,74,2013,436,Villarreal CF
A. Ramsdale,Aaron Ramsdale,82,86,34500000,GK,GK,England,24,191,77,1396,455,Arsenal
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,87,46000000,"CAM,CM,CF",CAM,Brazil,24,180,72,2188,461,West Ham United
D. Dumfries,Denzel Dumfries,82,84,34500000,"RWB,RM",RWB,Netherlands,26,188,80,2061,456,Inter
R. Malinovskyi,Ruslan Malinovskyi,82,82,30500000,"CF,CAM",CF,Ukraine,29,181,79,2213,465,Atalanta
